Date,Weight
2021-05-12,242.1
2021-05-19,249.6
2021-05-26,245.4
2021-06-02,238.1
2021-06-09,237.7
2021-06-16,234.3
2021-06-23,244.5
2021-06-25,239.4
2021-06-27,239.4
2021-06-30,235.9
2021-07-08,240.1
2021-07-09,239.9
2021-07-18,234.1
2021-07-25,231.9
2021-08-01,230.2
2021-08-02,228.6
2021-08-10,239.9
2021-08-13,240.3
2021-08-16,238.3
2021-08-19,236.6
