Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
6/3/2021,Lunch,1030,55,9.5,0,0,0,10,3935,0,66,0,39,72,0,80,2,0,
6/3/2021,Dinner,484.1,13.6,3.1,0,1.5,0.1,62.8,1379.9,212,58.3,2.5,4.3,28.3,2,0,11,20.8,
6/3/2021,Snacks,320,6,1,0,0,0,40,360,0,10,6,2,60,30,100,100,30,
6/4/2021,Breakfast,160,3,0.5,0,0,0,20,180,0,5,3,1,30,15,50,50,15,
6/4/2021,Lunch,583.3,22,2.8,7,3.5,0,146.7,2220,0,26,3,5.7,67.3,15,50,50,15,
6/4/2021,Dinner,976.7,43.5,8.7,8.5,4.5,0,252.3,4150,340,68,1,18.3,75.7,16,8,16,14,
6/4/2021,Snacks,320,6,1,0,0,0,40,360,0,10,6,2,60,30,100,100,30,
6/5/2021,Breakfast,192.5,0,0,0,0,0,8.8,113.8,0,19.3,5.3,8.8,29.8,0,0,17.5,0,
6/5/2021,Lunch,513.3,23,2.8,8.5,4.2,0,141.7,2700,0,28.5,0,5.7,45.3,12,6,0,0,
6/5/2021,Dinner,1170,36.5,15.5,4,16.5,0.3,117.5,2945,638,144,8,37,64.5,13,80,70,35,
6/5/2021,Snacks,530,6,1,0,0,0,40,580,317,42,10,18,80,30,100,100,30,
6/6/2021,Breakfast,524,0,0,0,0,0,17,221,129,75.9,12.2,49,57.8,0,0,34,0,
6/6/2021,Lunch,781.4,39.7,11,0.3,1.9,0,120,3993.3,760.2,51.8,3.1,0.1,57.1,21.3,12.7,189.3,9.1,
6/6/2021,Dinner,1850,82.5,21,15,7.5,0,560,7445,0,112,14,13,166.5,28,12,0,4,
6/6/2021,Snacks,80,0,0,0,0,0,0,210,129,17,2,8,0,0,0,4,0,
6/7/2021,Lunch,455,19.4,10.1,0,0,0,0,855,0,43.4,8.3,7.9,22.5,0,0,0,0,
6/7/2021,Dinner,1180,44.5,17,0,0,0,305,2375,0,106,15.5,2,92.5,6,0,17,0,
6/7/2021,Snacks,540,6,1,0,0,0,40,685,258,45,10,18,80,30,100,102,30,
6/8/2021,Breakfast,940,39,14.5,0,0,0,115,1980,0,67,8,9,86,38,100,112,58,
6/8/2021,Lunch,1940,117,37.5,0,0,2.5,277.5,6165,0,129,10,16,93,0,0,0,0,
6/8/2021,Dinner,160,3,0.5,0,0,0,20,180,0,5,3,1,30,15,50,50,15,
6/9/2021,Breakfast,315,14,5,1,5,0,59.5,315,285,40.5,9,18,17,0,0,17,8,
6/9/2021,Lunch,1113.3,51,12.3,10,5,0,211.7,6210,0,98,6,9.7,62.3,32,16,6,18,
6/9/2021,Dinner,408.3,11.2,6,0,0,0,105.8,947.5,361.7,40,4,2,34,0,0,4,16.7,
6/9/2021,Snacks,490,9,1.5,0,0,0,60,765,0,17,9,3,90,45,150,152,45,
6/10/2021,Breakfast,315,0.5,0,0.2,0.1,0,11.9,179.3,749.1,39.3,10.2,22.8,41.3,2.1,72.7,56.4,0.6,
6/10/2021,Lunch,465.3,21.2,2.5,7.6,3.8,0,126.7,2538,0,25.8,0,5.1,40.5,12,6,0,0,
